cdobstecou;nomprincip;ouv_coord_x;ouv_coord_y;ouv_type_nom;ouv_usage_energie_hydro;ouv_usages;ouv_etat;ouv_liaison;ouv_ouvrage_lie;demarche_priorisation_1;demarche_priorisation_2;demarche_priorisation_3;demarche_priorisation_4;demarche_priorisation_5;demarche_priorisation_6;demarche_priorisation_7;demarche_priorisation_8;demarche_priorisation_9;niveau_priorisation;commentaire_principal;ouv_hauteur_chute_1;ouv_date_hauteur_chute_1;ouv_operateur_hauteur_chute_1;ouv_precision_hauteur_chute_1;ouv_hauteur_chute_2;ouv_date_hauteur_chute_2;ouv_operateur_hauteur_chute_2;ouv_precision_hauteur_chute_2;ouv_hauteur_chute_3;ouv_date_hauteur_chute_3;ouv_operateur_hauteur_chute_3;ouv_precision_hauteur_chute_3;ouv_hauteur_chute_4;ouv_date_hauteur_chute_4;ouv_operateur_hauteur_chute_4;ouv_precision_hauteur_chute_4;ouv_hauteur_chute_5;ouv_date_hauteur_chute_5;ouv_operateur_hauteur_chute_5;ouv_precision_hauteur_chute_5;hauteur_chute_ICE;ouv_arasement;ouv_date_arasement;conformite_arasement;ouv_derasement;ouv_date_derasement;conformite_ derasement;dispo_franch_piscicole_1;date_mes_dispo_franch_piscicole_1;dispo_franch_piscicole_2;date_mes_dispo_franch_piscicole_2;dispo_franch_piscicole_3;date_mes_dispo_franch_piscicole_3;dispo_franch_piscicole_4;date_mes_dispo_franch_piscicole_4;dispo_franch_piscicole_5;date_mes_dispo_franch_piscicole_5;mesure_corrective_montaison_gestion;mesure_corrective_montaison_equipement;interet_montaison;conformite_montaison;mesure_corrective_devalaison_gestion;mesure_corrective_devalaison_equipement;mesure_corrective_devalaison_turbine;interet_devalaison;conformite_devalaison;mesure_corrective_sediment_gestion;mesure_corrective_sediment_equipement;mesure_corrective_sediment_recharge;mesure_corrective_commentaire;avis_technique_global;commentaire_avis_technique;note_appreciation_montaison_anguille;date_appreciation_montaison_anguille;note_appreciation_montaison_saumon_atlantique;date_appreciation_montaison_saumon_atlantique;note_appreciation_montaison_grande_alose;date_appreciation_montaison_grande_alose;note_appreciation_montaison_alose_feinte;date_appreciation_montaison_alose_feinte;note_appreciation_montaison_lamproie_marine;date_appreciation_montaison_lamproie_marine;note_appreciation_montaison_truite_fario;date_appreciation_montaison_truite_fario;avis_devalaison_anguille;avis_devalaison_saumon_atlantique;avis_continuite_sedimentaire;date_debut_activite;date_fin_activite;variabilité_debit_reserve;debit_reserve;debit_reserve_ICE;debit_minimal_montaison;debit_minimal_devalaison;debit_alimentation_ICE;debit_maximal_autorisé;debit_preleve_ICE;commentaire_debit;longueur_troncon_cc;longueur_troncon_cc_ICE;ecartement_grille;espace_interbarreaux_ICE;cote_retenue_basse;cote_retenue_haute;classement_liste_1;classement_liste_2;date_arrete_classement;especes_cibles;statut_sdage_1;statut_sdage_2;statut_sdage_3;statut_administratif;date_fin_acte;existence_reglement_eau;surface_bv_amont;source_surface_bv;module_cours_d_eau;source_module;surface_bv_amont_irstea;module_cours_d_eau_irstea;robustesse_irstea;altitude;ouvrage_mer;lineaire_aval;surface_retenue;source_surface_retenue;volume_retenue;source_volume_retenue;longueur_remous;source_longueur_remous;chute_naturelle_amont;chute_naturelle_aval;commentaire_contexte;nom_cours_d_eau_topo;commune;departement;code_cours_eau;code_zone_hydro;code_sous_secteur_hydro;nom_bassin_hydro;code_masse_eau;statut_roe
ROE3149;L'Evêché;171034.68;6789853.18;Seuil en rivière;Non;Aucun;Détruit entièrement;;;;;;;;;;;;;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Truite de mer"",""Alose feinte "",""Anguille"",""Lamproie marine"",""Saumon atlantique";;;;;;Non;;;;;338.00;7.486;Robuste;5;false;19.44;;;;;;;;;;l'odet;QUIMPER;29;J4230190;J423;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3151;La gare ;171658.39;6789905.14;Seuil en rivière;;;Détruit entièrement;;;;;;;;;;;;;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;Non validée pas encore de mesures;Non;Non;Non;Oui;Validée conforme au projet;Non;Non;Non;;Positif;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Saumon atlantique"",""Truite de mer"",""Alose feinte "",""Lamproie marine"",""Anguille";;;;;;Non;;;;;329.00;7.295;Robuste;5;false;21.50;;;;;;;;;;l'odet;QUIMPER;29;J4230190;J423;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3152;Dourguen;173111.24;6789576.87;Seuil en rivière;;;Détruit entièrement;;;;;;;;;;;;;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Lamproie marine"",""Saumon atlantique"",""Anguille"",""Alose feinte "",""Truite de mer";;;;;;Non;;;;;;;;7;;21.50;;;;;;;;;;l'odet;QUIMPER;29;J4230190;J423;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3155;Laiterie Entremont;172990.68;6789672.43;Seuil en rivière;Non;Industrie;Existant;;;;;;;;;;;;;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0.27;;;;;;;;;;;;;;;;;;;;0.27;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100.00;;;Oui;Oui;2012-07-10;"Lamproie marine"",""Saumon atlantique"",""Alose feinte "",""Anguille"",""Truite de mer";;;;;;Non;;;;;;;;7;;21.50;;;;;;;;;;l'odet;QUIMPER;29;J4230190;J423;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3157;Moulin de St-Denis;173531.55;6789907.46;Seuil en rivière;Non;Aucun;Détruit entièrement;;;;;PGA;;;;;;;;;0.00;2017-12-31;AFB;SD29;0.00;;;;;;;;;;;;;;;;1.50;;;;true;2017-10-02;Validée conforme au projet;Passe à bassins successifs;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;;;;0;2017-10-03;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Anguille"",""Alose feinte "",""Lamproie marine"",""Saumon atlantique"",""Truite de mer";;;;;;Non;;;;;;;;8;;23.06;;;;;;;;;;NR;ERGUE-GABERIC;29;J4210190;J421;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3159;Moulin de Penhoat;173948.35;6791281.72;Seuil en rivière;Oui;;Existant;;;;;;;;;;;;;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0.50;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Saumon atlantique"",""Alose feinte "",""Anguille"",""Truite de mer"",""Lamproie marine";;;;;;Non;;;;;;;;15;;31.20;;;;;;;;;;l'odet;QUIMPER;29;J4210190;J421;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3161;Meil Poul;174825.51;6793250.35;Seuil en rivière;;;Détruit entièrement;;;;;;;;;;;;;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Saumon atlantique"",""Lamproie marine"",""Anguille"",""Alose feinte "",""Truite de mer";;;;;;Non;;;;;;;;45;;31.20;;;;;;;;;;l'odet;QUIMPER;29;J4210190;J421;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3162;Coat Glaz Izella;175052.77;6793708.24;Seuil en rivière;;;Détruit entièrement;;;;;;;;;;;;;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Truite de mer"",""Anguille"",""Alose feinte "",""Lamproie marine"",""Saumon atlantique";;;;;;Non;;;;;197.00;4.613;Robuste;48;false;31.20;;;;;;;;;;l'odet;ERGUE-GABERIC;29;J4210190;J421;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3164;Moulin de Moguéric;177120.91;6793126.87;Seuil en rivière;Non;Loisirs et sports aquatiques;Existant;;;PAPARCE;;PGA;PLAGEPOMI;;;;;;;En 2020 une petite brèche est créée en partie amont du déversoir pour permettre le franchissement de l'ouvrage lors des étiages. L'ouvrage se délabre toujours davantage.;0.90;;;;;;;;;;;;;;;;;;;;1.21;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;Non validée pas encore de mesures;Non;Non;Non;Oui;Non validée pas encore de mesures;Non;Non;Non;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Truite de mer"",""Alose feinte "",""Anguille"",""Lamproie marine"",""Saumon atlantique";;;;;;Non;;;;;;;;57;;31.20;;;;;;;;;;l'odet;BRIEC;29;J4210190;J421;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
ROE3165;Gougastel pont de la route;177310.31;6793358.97;Obstacle induit par un pont;Non;Transports et soutien de navigation;Existant;;;;;;;;;;;;;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;Absence de passe;;;;;;;;;;Non;Non;Oui;;Non;Non;Non;Oui;;Non;Non;Non;;Positif;"Ouvrage jugé conforme dans tableau de bord ""Bretagne Grands Migrateurs""=> Données DREAL/DDTM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oui;Oui;2012-07-10;"Saumon atlantique"",""Alose feinte "",""Anguille"",""Lamproie marine"",""Truite de mer";;;;;;Non;;;;;187.00;4.395;Robuste;60;false;34.15;;;;;;;;;;l'odet;BRIEC;29;J4210190;J421;J42;LOIRE-BRETAGNE;FRGR0078;Validé point par point
